"delta_gen","s_gen","delta_epi","s_epi"
-0.255584758892222,0.0757695951671839,-0.0221652314472072,0.0826664871733133
-0.154719955693486,0.0802274156702378,-0.149300760722083,0.0871528873152884
-0.0750508317185111,0.0802274156702378,-0.00732895653552062,0.0871528873152884
-0.255584758892222,0.423001825162767,-0.0221652314472072,0.421318882537476
-0.0750508317185111,0.423001825162767,-0.00732895653552062,0.421318882537476
-0.255584758892222,0.0505915092510605,-0.0221652314472072,0.182287350744678
-0.044247011010922,0.0505915092510605,-0.0439550116832843,0.182287350744678
-0.0750508317185111,0.259550153739248,-0.00732895653552062,0.256787433719047
-0.044247011010922,0.259550153739248,-0.0439550116832843,0.256787433719047
-0.0750508317185111,0.0834410842671943,-0.00732895653552062,0.141959111764248
-0.441568385661555,0.0834410842671943,-0.144645975453706,0.141959111764248
-0.0729143502885736,0.129699106716909,-0.0729143502885736,0.129699106716909
-0.156012573766469,0.129699106716909,-0.156012573766469,0.129699106716909
-0.0314463113727773,0.0204526308692325,-0.0314463113727773,0.0204526308692325
-0.408540235911767,0.0204526308692325,-0.408540235911767,0.0204526308692325
-0.0109225420917122,0.323905885256222,-0.0100131977348109,0.325123066313378
-0.202216507026069,0.323905885256222,0.195225412352165,0.325123066313378
-0.0109225420917122,0.171910181555963,-0.0100131977348109,0.17298761983127
-0.548668923274169,0.171910181555963,0.0565584893432955,0.17298761983127
-0.0109225420917122,0.136631209657027,-0.0100131977348109,0.137676212925594
-0.235558295833261,0.136631209657027,0.027136875480173,0.137676212925594
-0.0109225420917122,0.112414428467837,-0.0100131977348109,0.113437167157284
-0.1907782443921,0.112414428467837,0.00650055719944269,0.113437167157284
-0.202216507026069,0.0396141791127854,0.195225412352165,0.0467872371684091
-0.548668923274169,0.0396141791127854,0.0565584893432955,0.0467872371684091
-0.202216507026069,0.306930996441433,0.195225412352165,0.30306382674073
-0.235558295833261,0.306930996441433,0.027136875480173,0.30306382674073
-0.202216507026069,0.00289460826153517,0.195225412352165,0.149199707858737
-0.1907782443921,0.00289460826153517,0.00650055719944269,0.149199707858737
-0.063140362370366,0.0129883588812332,-0.0594961034873791,0.0169287483237279
-0.389574893283448,0.0129883588812332,-0.0827575842223286,0.0169287483237279
-0.195680588360845,0.0145845481850954,-0.195680588360845,0.0145845481850954
-0.372618455993967,0.0145845481850954,-0.372618455993967,0.0145845481850954
-0.0670560908096239,0.00605433095776211,-0.0670560908096239,0.00605433095776211
-0.00652668874317176,0.00605433095776211,-0.00652668874317176,0.00605433095776211
-0.191508995029366,0.171637544488103,-0.185847591872501,0.179841856536457
-0.108854466540581,0.171637544488103,0.0677610876929947,0.179841856536457
-0.191508995029366,0.307469894240238,-0.185847591872501,0.316625363059618
-0.0587575028678346,0.307469894240238,0.189923473549354,0.316625363059618
-0.191508995029366,0.288675149428464,-0.185847591872501,0.297699009328318
-0.168733697908693,0.288675149428464,0.171101810600547,0.297699009328318
-0.108854466540581,0.280821915502078,0.0677610876929947,0.284267490189452
-0.0587575028678346,0.280821915502078,0.189923473549354,0.284267490189452
-0.108854466540581,0.0895657797282966,0.0677610876929947,0.114658337416574
-0.577541696328548,0.0895657797282966,-0.296357474077484,0.114658337416574
-0.0736614019800143,0.0208053738116389,-0.069677465630941,0.025195586680616
-0.265126177386494,0.0208053738116389,-0.0734613445880975,0.025195586680616
-0.444518846863927,0.16745909953699,-0.444518846863927,0.16745909953699
-0.075382472583138,0.16745909953699,-0.075382472583138,0.16745909953699
-0.176568434287231,0.144077661861557,-0.170985263431346,0.151834931954847
-0.136507945333985,0.144077661861557,0.0421680404418128,0.151834931954847
-0.176568434287231,0.175615987995175,-0.170985263431346,0.183587099615369
-0.216375470579526,0.175615987995175,0.0684771139513533,0.183587099615369
-0.185550728544805,0.123688606941245,-0.179400080837871,0.128725671627916
-0.216375470579526,0.123688606941245,0.0684771139513533,0.128725671627916
-0.0309392804607104,0.0462115400415783,-0.0287225539855774,0.0486047490249146
-0.302631952856092,0.0462115400415783,-0.053377502781228,0.0486047490249146
-0.0309392804607104,0.0290970357583698,-0.0287225539855774,0.0314510953117598
-0.0351852140046869,0.0290970357583698,-0.0224099250719777,0.0314510953117598
-0.0247779205579523,0.103503779759572,-0.0247779205579523,0.103503779759572
-0.0259782307243723,0.103503779759572,-0.0259782307243723,0.103503779759572
-0.247899513967249,0.0233062454943115,-0.247899513967249,0.0233062454943115
-0.176750837044116,0.0233062454943115,-0.176750837044116,0.0233062454943115
-0.0496409111832139,0.0786166789266234,-0.0465145892059839,0.0821649198684062
-0.0446837526190229,0.0786166789266234,-0.00402871308139902,0.0821649198684062
-0.0496409111832139,0.101169873877033,-0.0465145892059839,0.104792306300605
-0.387875526527266,0.101169873877033,-0.00393851736045755,0.104792306300605
-0.191263837114734,0.0916539148664056,-0.193633845722316,0.088420151703608
-0.0446837526190229,0.0916539148664056,-0.00402871308139902,0.088420151703608
-0.286322007215332,0.058677943231399,-0.280596020246766,0.0671719365563126
-0.205232903119462,0.058677943231399,-0.0345827924564557,0.0671719365563126
-0.238950319179658,0.188328983299592,-0.230272715219046,0.188873873517827
-0.196602720184165,0.188328983299592,-0.106740778184132,0.188873873517827
-0.0749496166983409,0.0956222278972711,-0.0749496166983409,0.0956222278972711
-0.107977586596923,0.0956222278972711,-0.107977586596923,0.0956222278972711
-0.0488707419712699,0.0245000645604467,-0.0419869446486362,0.0168117414342103
-0.21826731776722,0.0245000645604467,-0.21826731776722,0.0168117414342103
-0.0511634848919047,0.0449303007796873,-0.0479735624216198,0.0484432838840094
